FIGHERT1,FIGHERT2,OUTCOME1,OUTCOME2,METHOD,ROUND,TIME,REFEREE,DATE
Ludovit Klein ,Michael Trizano ,L,W,Decision - Unanimous ,3,5:00,Herb Dean,"May 08, 2021"
JunYong Park ,Tafon Nchukwi ,W,L,Decision - Majority ,3,5:00,Chris Tognoni,"May 08, 2021"
Christian Aguilera ,Carlston Harris ,L,W,Submission ,1,2:52,Marc Goddard,"May 08, 2021"
Dominick Reyes ,Jiri Prochazka ,L,W,KO/TKO ,2,4:29,Herb Dean,"May 01, 2021"
Giga Chikadze ,Cub Swanson ,W,L,KO/TKO ,1,1:03,Jason Herzog,"May 01, 2021"
Ion Cutelaba ,Dustin Jacoby ,D,D,Decision - Split ,3,5:00,Mark Smith,"May 01, 2021"
Sean Strickland ,Krzysztof Jotko ,W,L,Decision - Unanimous ,3,5:00,Herb Dean,"May 01, 2021"
Merab Dvalishvili ,Cody Stamann ,W,L,Decision - Unanimous ,3,5:00,Chris Tognoni,"May 01, 2021"
Randa Markos ,Luana Pinheiro ,L,W,DQ ,1,4:16,Mark Smith,"May 01, 2021"
Kai Kamaka ,TJ Brown ,L,W,Decision - Split ,3,5:00,Jason Herzog,"May 01, 2021"
Poliana Botelho ,Luana Carolina ,L,W,Decision - Split ,3,5:00,Herb Dean,"May 01, 2021"
Loma Lookboonmee ,Sam Hughes ,W,L,Decision - Unanimous ,3,5:00,Jason Herzog,"May 01, 2021"
Andreas Michailidis ,KB Bhullar ,W,L,Decision - Unanimous ,3,5:00,Mark Smith,"May 01, 2021"
Luke Sanders ,Felipe Colares ,L,W,Decision - Unanimous ,3,5:00,Chris Tognoni,"May 01, 2021"
Kamaru Usman ,Jorge Masvidal ,W,L,KO/TKO ,2,1:02,Herb Dean,"April 24, 2021"
Zhang Weili ,Rose Namajunas ,L,W,KO/TKO ,1,1:18,Keith Peterson,"April 24, 2021"
Valentina Shevchenko ,Jessica Andrade ,W,L,KO/TKO ,2,3:19,Dan Miragliotta,"April 24, 2021"
Uriah Hall ,Chris Weidman ,W,L,KO/TKO ,1,0:17,Herb Dean,"April 24, 2021"
Anthony Smith ,Jimmy Crute ,W,L,TKO - Doctor's Stoppage ,1,5:00,Keith Peterson,"April 24, 2021"
Alex Oliveira ,Randy Brown ,L,W,Submission ,1,2:50,Dan Miragliotta,"April 24, 2021"
Dwight Grant ,Stefan Sekulic ,W,L,Decision - Split ,3,5:00,James Folsom,"April 24, 2021"
Karl Roberson ,Brendan Allen ,L,W,Submission ,1,4:55,Dan Miragliotta,"April 24, 2021"
Pat Sabatini ,Tristan Connelly ,W,L,Decision - Unanimous ,3,5:00,Josh Rutgers,"April 24, 2021"
Batgerel Danaa ,Kevin Natividad ,W,L,KO/TKO ,1,0:50,Herb Dean,"April 24, 2021"
Kazula Vargas , Rongzhu ,W,L,Decision - Unanimous ,3,5:00,Keith Peterson,"April 24, 2021"
 Aoriqileng ,Jeff Molina ,L,W,Decision - Unanimous ,3,5:00,Josh Rutgers,"April 24, 2021"
Liang Na ,Ariane Carnelossi ,L,W,KO/TKO ,2,1:28,James Folsom,"April 24, 2021"
Robert Whittaker ,Kelvin Gastelum ,W,L,Decision - Unanimous ,5,5:00,Herb Dean,"April 17, 2021"
Andrei Arlovski ,Chase Sherman ,W,L,Decision - Unanimous ,3,5:00,Keith Peterson,"April 17, 2021"
Abdul Razak Alhassan ,Jacob Malkoun ,L,W,Decision - Unanimous ,3,5:00,Chris Tognoni,"April 17, 2021"
Tracy Cortez ,Justine Kish ,W,L,Decision - Split ,3,5:00,Keith Peterson,"April 17, 2021"
Luis Pena ,Alexander Munoz ,W,L,Decision - Split ,3,5:00,Herb Dean,"April 17, 2021"
Alexandr Romanov ,Juan Espino ,W,L,Decision - Split ,3,1:05,Mark Smith,"April 17, 2021"
Jessica Penne ,Loopy Godinez ,W,L,Decision - Split ,3,5:00,Chris Tognoni,"April 17, 2021"
Bartosz Fabinski ,Gerald Meerschaert ,L,W,Submission ,1,2:00,Herb Dean,"April 17, 2021"
Austin Hubbard ,Dakota Bush ,W,L,Decision - Unanimous ,3,5:00,Keith Peterson,"April 17, 2021"
Tony Gravely ,Anthony Birchak ,W,L,KO/TKO ,2,1:31,Mark Smith,"April 17, 2021"
Marvin Vettori ,Kevin Holland ,W,L,Decision - Unanimous ,5,5:00,Herb Dean,"April 10, 2021"
Arnold Allen ,Sodiq Yusuff ,W,L,Decision - Unanimous ,3,5:00,Jason Herzog,"April 10, 2021"
Sam Alvey ,Julian Marquez ,L,W,Submission ,2,2:07,Mark Smith,"April 10, 2021"
Nina Nunes ,Mackenzie Dern ,L,W,Submission ,1,4:48,Chris Tognoni,"April 10, 2021"
Mike Perry ,Daniel Rodriguez ,L,W,Decision - Unanimous ,3,5:00,Mike Beltran,"April 10, 2021"
Jim Miller ,Joe Solecki ,L,W,Decision - Unanimous ,3,5:00,Herb Dean,"April 10, 2021"
Scott Holtzman ,Mateusz Gamrot ,L,W,KO/TKO ,2,1:22,Jason Herzog,"April 10, 2021"
John Makdessi ,Ignacio Bahamondes ,W,L,Decision - Split ,3,5:00,Chris Tognoni,"April 10, 2021"
Yorgan De Castro ,Jarjis Danho ,L,W,KO/TKO ,1,3:02,Mike Beltran,"April 10, 2021"
Hunter Azure ,Jack Shore ,L,W,Decision - Split ,3,5:00,Herb Dean,"April 10, 2021"
Luis Saldana ,Jordan Griffin ,W,L,Decision - Unanimous ,3,5:00,Jason Herzog,"April 10, 2021"
Da Woon Jung ,William Knight ,W,L,Decision - Unanimous ,3,5:00,Mark Smith,"April 10, 2021"
Impa Kasanganay ,Sasha Palatnikov ,W,L,Submission ,2,0:26,Chris Tognoni,"April 10, 2021"
Stipe Miocic ,Francis Ngannou ,L,W,KO/TKO ,2,0:52,Herb Dean,"March 27, 2021"
Tyron Woodley ,Vicente Luque ,L,W,Submission ,1,3:56,Jason Herzog,"March 27, 2021"
Sean O'Malley ,Thomas Almeida ,W,L,KO/TKO ,3,3:52,Mark Smith,"March 27, 2021"
Gillian Robertson ,Miranda Maverick ,L,W,Decision - Unanimous ,3,5:00,Jason Herzog,"March 27, 2021"
Jamie Mullarkey ,Khama Worthy ,W,L,KO/TKO ,1,0:46,Chris Tognoni,"March 27, 2021"
Alonzo Menifield ,Fabio Cherant ,W,L,Submission ,1,1:11,Herb Dean,"March 27, 2021"
Jared Gooden ,Abubakar Nurmagomedov ,L,W,Decision - Unanimous ,3,5:00,Mark Smith,"March 27, 2021"
Modestas Bukauskas ,Michal Oleksiejczuk ,L,W,Decision - Split ,3,5:00,Jason Herzog,"March 27, 2021"
Shane Young ,Omar Morales ,L,W,Decision - Unanimous ,3,5:00,Chris Tognoni,"March 27, 2021"
Marc-Andre Barriault ,Abu Azaitar ,W,L,KO/TKO ,3,4:56,Jerin Valel,"March 27, 2021"
Derek Brunson ,Kevin Holland ,W,L,Decision - Unanimous ,5,5:00,Herb Dean,"March 20, 2021"
Song Kenan ,Max Griffin ,L,W,KO/TKO ,1,2:20,Keith Peterson,"March 20, 2021"
Cheyanne Vlismas ,Montserrat Conejo ,L,W,Decision - Unanimous ,3,5:00,Mark Smith,"March 20, 2021"
Adrian Yanez ,Gustavo Lopez ,W,L,KO/TKO ,3,0:27,Chris Tognoni,"March 20, 2021"
Tai Tuivasa ,Harry Hunsucker ,W,L,KO/TKO ,1,0:49,Herb Dean,"March 20, 2021"
Marion Reneau ,Macy Chiasson ,L,W,Decision - Unanimous ,3,5:00,Mark Smith,"March 20, 2021"
Leonardo Santos ,Grant Dawson ,L,W,KO/TKO ,3,4:59,Chris Tognoni,"March 20, 2021"
Trevin Giles ,Roman Dolidze ,W,L,Decision - Unanimous ,3,5:00,Herb Dean,"March 20, 2021"
Montel Jackson ,Jesse Strader ,W,L,KO/TKO ,1,1:58,Keith Peterson,"March 20, 2021"
Bruno Silva ,JP Buys ,W,L,KO/TKO ,2,2:56,Mark Smith,"March 20, 2021"
Leon Edwards ,Belal Muhammad ,NC,NC,Could Not Continue ,2,0:18,Herb Dean,"March 13, 2021"
Misha Cirkunov ,Ryan Spann ,L,W,KO/TKO ,1,1:11,Mark Smith,"March 13, 2021"
Dan Ige ,Gavin Tucker ,W,L,KO/TKO ,1,0:22,Mike Beltran,"March 13, 2021"
Jonathan Martinez ,Davey Grant ,L,W,KO/TKO ,2,3:03,Chris Tognoni,"March 13, 2021"
Manel Kape ,Matheus Nicolau ,L,W,Decision - Split ,3,5:00,,"March 13, 2021"
Eryk Anders ,Darren Stewart ,NC,NC,Could Not Continue ,1,4:37,Herb Dean,"March 13, 2021"
Angela Hill ,Ashley Yoder ,W,L,Decision - Unanimous ,3,5:00,Mike Beltran,"March 13, 2021"
Charles Jourdain ,Marcelo Rojo ,W,L,KO/TKO ,3,4:31,Mark Smith,"March 13, 2021"
Rani Yahya ,Ray Rodriguez ,W,L,Submission ,2,3:09,Herb Dean,"March 13, 2021"
Nasrat Haqparast ,Rafa Garcia ,W,L,Decision - Unanimous ,3,5:00,Chris Tognoni,"March 13, 2021"
Cortney Casey ,JJ Aldrich ,L,W,Decision - Split ,3,5:00,Mark Smith,"March 13, 2021"
Gloria de Paula ,Jinh Yu Frey ,L,W,Decision - Unanimous ,3,5:00,Mike Beltran,"March 13, 2021"
Matthew Semelsberger ,Jason Witt ,W,L,KO/TKO ,1,0:16,Chris Tognoni,"March 13, 2021"
Jan Blachowicz ,Israel Adesanya ,W,L,Decision - Unanimous ,5,5:00,Herb Dean,"March 06, 2021"
Amanda Nunes ,Megan Anderson ,W,L,Submission ,1,2:03,Jason Herzog,"March 06, 2021"
Petr Yan ,Aljamain Sterling ,L,W,DQ ,4,4:29,Mark Smith,"March 06, 2021"
Islam Makhachev ,Drew Dober ,W,L,Submission ,3,1:37,Chris Tognoni,"March 06, 2021"
Thiago Santos ,Aleksandar Rakic ,L,W,Decision - Unanimous ,3,5:00,Herb Dean,"March 06, 2021"
Dominick Cruz ,Casey Kenney ,W,L,Decision - Split ,3,5:00,Jason Herzog,"March 06, 2021"
Song Yadong ,Kyler Phillips ,L,W,Decision - Unanimous ,3,5:00,Mark Smith,"March 06, 2021"
Joseph Benavidez ,Askar Askarov ,L,W,Decision - Unanimous ,3,5:00,Jason Herzog,"March 06, 2021"
Rogerio Bontorin ,Kai Kara-France ,L,W,KO/TKO ,1,4:55,Herb Dean,"March 06, 2021"
Tim Elliott ,Jordan Espinosa ,W,L,Decision - Unanimous ,3,5:00,Mark Smith,"March 06, 2021"
Kennedy Nzechukwu ,Carlos Ulberg ,W,L,KO/TKO ,2,3:19,Herb Dean,"March 06, 2021"
Sean Brady ,Jake Matthews ,W,L,Submission ,3,3:28,Chris Tognoni,"March 06, 2021"
Livinha Souza ,Amanda Lemos ,L,W,KO/TKO ,1,3:39,Jason Herzog,"March 06, 2021"
Uros Medic ,Aalon Cruz ,W,L,KO/TKO ,1,1:40,Mark Smith,"March 06, 2021"
Mario Bautista ,Trevin Jones ,L,W,KO/TKO ,2,0:47,Chris Tognoni,"March 06, 2021"
Jairzinho Rozenstruik ,Ciryl Gane ,L,W,Decision - Unanimous ,5,5:00,Herb Dean,"February 27, 2021"
Nikita Krylov ,Magomed Ankalaev ,L,W,Decision - Unanimous ,3,5:00,Mark Smith,"February 27, 2021"
Montana De La Rosa ,Mayra Bueno Silva ,D,D,Decision - Majority ,3,5:00,Jerin Valel,"February 27, 2021"
Pedro Munhoz ,Jimmie Rivera ,W,L,Decision - Unanimous ,3,5:00,Herb Dean,"February 27, 2021"
Alex Caceres ,Kevin Croom ,W,L,Decision - Unanimous ,3,5:00,Chris Tognoni,"February 27, 2021"
Alexander Hernandez ,Thiago Moises ,L,W,Decision - Unanimous ,3,5:00,Mark Smith,"February 27, 2021"
Alexis Davis ,Sabina Mazo ,W,L,Decision - Unanimous ,3,5:00,Chris Tognoni,"February 27, 2021"
Vince Cachero ,Ronnie Lawrence ,L,W,KO/TKO ,3,2:38,Jerin Valel,"February 27, 2021"
Dustin Jacoby ,Maxim Grishin ,W,L,Decision - Unanimous ,3,5:00,Chris Tognoni,"February 27, 2021"
Curtis Blaydes ,Derrick Lewis ,L,W,KO/TKO ,2,1:26,Herb Dean,"February 20, 2021"
Ketlen Vieira ,Yana Santos ,L,W,Decision - Unanimous ,3,5:00,Jason Herzog,"February 20, 2021"
Charles Rosa ,Darrick Minner ,L,W,Decision - Unanimous ,3,5:00,Mark Smith,"February 20, 2021"
Aleksei Oleinik ,Chris Daukaus ,L,W,KO/TKO ,1,1:55,Herb Dean,"February 20, 2021"
Phil Hawes ,Nassourdine Imavov ,W,L,Decision - Majority ,3,5:00,Chris Tognoni,"February 20, 2021"
Andrei Arlovski ,Tom Aspinall ,L,W,Submission ,2,1:09,Mark Smith,"February 20, 2021"
Jared Gordon ,Danny Chavez ,W,L,Decision - Unanimous ,3,5:00,Herb Dean,"February 20, 2021"
Eddie Wineland ,John Castaneda ,L,W,KO/TKO ,1,4:44,Jason Herzog,"February 20, 2021"
Nate Landwehr ,Julian Erosa ,L,W,KO/TKO ,1,0:56,Mark Smith,"February 20, 2021"
Shana Dobson ,Casey O'Neill ,L,W,KO/TKO ,2,3:41,Chris Tognoni,"February 20, 2021"
Aiemann Zahabi ,Drako Rodriguez ,W,L,KO/TKO ,1,3:05,Mark Smith,"February 20, 2021"
Serghei Spivac ,Jared Vanderaa ,W,L,KO/TKO ,2,4:32,Chris Tognoni,"February 20, 2021"
Kamaru Usman ,Gilbert Burns ,W,L,KO/TKO ,3,0:34,Herb Dean,"February 13, 2021"
Maycee Barber ,Alexa Grasso ,L,W,Decision - Unanimous ,3,5:00,Keith Peterson,"February 13, 2021"
Kelvin Gastelum ,Ian Heinisch ,W,L,Decision - Unanimous ,3,5:00,Mark Smith,"February 13, 2021"
Ricky Simon ,Brian Kelleher ,W,L,Decision - Unanimous ,3,5:00,Keith Peterson,"February 13, 2021"
Maki Pitolo ,Julian Marquez ,L,W,Submission ,3,4:17,Mark Smith,"February 13, 2021"
Rodolfo Vieira ,Anthony Hernandez ,L,W,Submission ,2,1:53,Keith Peterson,"February 13, 2021"
Belal Muhammad ,Dhiego Lima ,W,L,Decision - Unanimous ,3,5:00,Herb Dean,"February 13, 2021"
Polyana Viana ,Mallory Martin ,W,L,Submission ,1,3:18,Mark Smith,"February 13, 2021"
Andre Ewell ,Chris Gutierrez ,L,W,Decision - Unanimous ,3,5:00,Chris Tognoni,"February 13, 2021"
Gabe Green ,Phil Rowe ,W,L,Decision - Unanimous ,3,5:00,Mark Smith,"February 13, 2021"
Alistair Overeem ,Alexander Volkov ,L,W,KO/TKO ,2,2:06,Jason Herzog,"February 06, 2021"
Cory Sandhagen ,Frankie Edgar ,W,L,KO/TKO ,1,0:28,Keith Peterson,"February 06, 2021"
Michael Johnson ,Clay Guida ,L,W,Decision - Unanimous ,3,5:00,Mark Smith,"February 06, 2021"
Alexandre Pantoja ,Manel Kape ,W,L,Decision - Unanimous ,3,5:00,Keith Peterson,"February 06, 2021"
Diego Ferreira ,Beneil Dariush ,L,W,Decision - Split ,3,5:00,Chris Tognoni,"February 06, 2021"
Mike Rodriguez ,Danilo Marques ,L,W,Submission ,2,4:52,Jason Herzog,"February 06, 2021"
Devonte Smith ,Justin Jaynes ,W,L,TKO - Doctor's Stoppage ,2,3:38,Keith Peterson,"February 06, 2021"
Karol Rosa ,Joselyne Edwards ,W,L,Decision - Unanimous ,3,5:00,Mark Smith,"February 06, 2021"
Molly McCann ,Lara Procopio ,L,W,Decision - Unanimous ,3,5:00,Jason Herzog,"February 06, 2021"
SeungWoo Choi ,Youssef Zalal ,W,L,Decision - Unanimous ,3,5:00,Chris Tognoni,"February 06, 2021"
Timur Valiev ,Martin Day ,W,L,Decision - Unanimous ,3,5:00,Mark Smith,"February 06, 2021"
Ode Osbourne ,Jerome Rivera ,W,L,KO/TKO ,1,0:26,Chris Tognoni,"February 06, 2021"
Dustin Poirier ,Conor McGregor ,W,L,KO/TKO ,2,2:32,Herb Dean,"January 23, 2021"
Dan Hooker ,Michael Chandler ,L,W,KO/TKO ,1,2:30,Marc Goddard,"January 23, 2021"
Jessica Eye ,Joanne Wood ,L,W,Decision - Unanimous ,3,5:00,Keith Peterson,"January 23, 2021"
Andrew Sanchez ,Makhmud Muradov ,L,W,KO/TKO ,3,2:59,Jason Herzog,"January 23, 2021"
Marina Rodriguez ,Amanda Ribas ,W,L,KO/TKO ,2,0:54,Herb Dean,"January 23, 2021"
Arman Tsarukyan ,Matt Frevola ,W,L,Decision - Unanimous ,3,5:00,Lukasz Bosacki,"January 23, 2021"
Brad Tavares ,Antonio Carlos Junior ,W,L,Decision - Unanimous ,3,5:00,Marc Goddard,"January 23, 2021"
Julianna Pena ,Sara McMann ,W,L,Submission ,3,3:39,Keith Peterson,"January 23, 2021"
Khalil Rountree Jr. ,Marcin Prachnio ,L,W,Decision - Unanimous ,3,5:00,Herb Dean,"January 23, 2021"
Nik Lentz ,Movsar Evloev ,L,W,Decision - Split ,3,5:00,Lukasz Bosacki,"January 23, 2021"
Amir Albazi ,Zhalgas Zhumagulov ,W,L,Decision - Unanimous ,3,5:00,Jason Herzog,"January 23, 2021"
Michael Chiesa ,Neil Magny ,W,L,Decision - Unanimous ,5,5:00,Marc Goddard,"January 20, 2021"
Warlley Alves ,Mounir Lazzez ,W,L,KO/TKO ,1,2:35,Herb Dean,"January 20, 2021"
Ike Villanueva ,Vinicius Moreira ,W,L,KO/TKO ,2,0:39,Jason Herzog,"January 20, 2021"
Roxanne Modafferi ,Viviane Araujo ,L,W,Decision - Unanimous ,3,5:00,Keith Peterson,"January 20, 2021"
Matt Schnell ,Tyson Nam ,W,L,Decision - Split ,3,5:00,Herb Dean,"January 20, 2021"
Lerone Murphy ,Douglas Silva de Andrade ,W,L,Decision - Unanimous ,3,5:00,Marc Goddard,"January 20, 2021"
Omari Akhmedov ,Tom Breese ,W,L,Submission ,2,1:41,Lukasz Bosacki,"January 20, 2021"
Ricky Simon ,Gaetano Pirrello ,W,L,Submission ,2,4:00,Keith Peterson,"January 20, 2021"
 Sumudaerji ,Zarrukh Adashev ,W,L,Decision - Unanimous ,3,5:00,Jason Herzog,"January 20, 2021"
Dalcha Lungiambula ,Markus Perez ,W,L,Decision - Unanimous ,3,5:00,Herb Dean,"January 20, 2021"
Francisco Figueiredo ,Jerome Rivera ,W,L,Decision - Unanimous ,3,5:00,Marc Goddard,"January 20, 2021"
Mike Davis ,Mason Jones ,W,L,Decision - Unanimous ,3,5:00,Keith Peterson,"January 20, 2021"
Umar Nurmagomedov ,Sergey Morozov ,W,L,Submission ,2,3:39,Jason Herzog,"January 20, 2021"
Victoria Leonardo ,Manon Fiorot ,L,W,KO/TKO ,2,4:08,Lukasz Bosacki,"January 20, 2021"
Max Holloway ,Calvin Kattar ,W,L,Decision - Unanimous ,5,5:00,Herb Dean,"January 16, 2021"
Carlos Condit ,Matt Brown ,W,L,Decision - Unanimous ,3,5:00,Marc Goddard,"January 16, 2021"
Santiago Ponzinibbio ,Li Jingliang ,L,W,KO/TKO ,1,4:25,Jason Herzog,"January 16, 2021"
Joaquin Buckley ,Alessio Di Chirico ,L,W,KO/TKO ,1,2:12,Keith Peterson,"January 16, 2021"
Punahele Soriano ,Dusko Todorovic ,W,L,KO/TKO ,1,4:48,Herb Dean,"January 16, 2021"
Wu Yanan ,Joselyne Edwards ,L,W,Decision - Unanimous ,3,5:00,Jason Herzog,"January 16, 2021"
Carlos Felipe ,Justin Tafa ,W,L,Decision - Split ,3,5:00,Herb Dean,"January 16, 2021"
David Zawada ,Ramazan Emeev ,L,W,Decision - Split ,3,5:00,Jason Herzog,"January 16, 2021"
Sarah Moras ,Vanessa Melo ,L,W,Decision - Unanimous ,3,5:00,Keith Peterson,"January 16, 2021"
Jacob Kilburn ,Austin Lingo ,L,W,Decision - Unanimous ,3,5:00,Marc Goddard,"January 16, 2021"
Stephen Thompson ,Geoff Neal ,W,L,Decision - Unanimous ,5,5:00,Marc Goddard,"December 19, 2020"
Jose Aldo ,Marlon Vera ,W,L,Decision - Unanimous ,3,5:00,Dan Miragliotta,"December 19, 2020"
Michel Pereira ,Khaos Williams ,W,L,Decision - Unanimous ,3,5:00,Mark Smith,"December 19, 2020"
Marlon Moraes ,Rob Font ,L,W,KO/TKO ,1,3:47,Marc Goddard,"December 19, 2020"
Marcin Tybura ,Greg Hardy ,W,L,KO/TKO ,2,4:31,Dan Miragliotta,"December 19, 2020"
Anthony Pettis ,Alex Morono ,W,L,Decision - Unanimous ,3,5:00,Marc Goddard,"December 19, 2020"
Sijara Eubanks ,Pannie Kianzad ,L,W,Decision - Unanimous ,3,5:00,Mark Smith,"December 19, 2020"
Deron Winn ,Antonio Arroyo ,W,L,Decision - Unanimous ,3,5:00,Dan Miragliotta,"December 19, 2020"
Gillian Robertson ,Taila Santos ,L,W,Decision - Unanimous ,3,5:00,Mark Smith,"December 19, 2020"
Tafon Nchukwi ,Jamie Pickett ,W,L,Decision - Unanimous ,3,5:00,Chris Tognoni,"December 19, 2020"
Jimmy Flick ,Cody Durden ,W,L,Submission ,1,3:18,Jerin Valel,"December 19, 2020"
Christos Giagos ,Carlton Minus ,W,L,Decision - Unanimous ,3,5:00,Chris Tognoni,"December 19, 2020"
Deiveson Figueiredo ,Brandon Moreno ,D,D,Decision - Majority ,5,5:00,Jason Herzog,"December 12, 2020"
Tony Ferguson ,Charles Oliveira ,L,W,Decision - Unanimous ,3,5:00,Mark Smith,"December 12, 2020"
Mackenzie Dern ,Virna Jandiroba ,W,L,Decision - Unanimous ,3,5:00,Jason Herzog,"December 12, 2020"
Kevin Holland ,Jacare Souza ,W,L,KO/TKO ,1,1:45,Mark Smith,"December 12, 2020"
Junior Dos Santos ,Ciryl Gane ,L,W,KO/TKO ,2,2:34,Jerin Valel,"December 12, 2020"
Cub Swanson ,Daniel Pineda ,W,L,KO/TKO ,2,1:52,Mark Smith,"December 12, 2020"
Renato Moicano ,Rafael Fiziev ,L,W,KO/TKO ,1,4:05,Chris Tognoni,"December 12, 2020"
Gavin Tucker ,Billy Quarantillo ,W,L,Decision - Unanimous ,3,5:00,Jerin Valel,"December 12, 2020"
Tecia Torres ,Sam Hughes ,W,L,TKO - Doctor's Stoppage ,1,5:00,Jason Herzog,"December 12, 2020"
Chase Hooper ,Peter Barrett ,W,L,Submission ,3,3:02,Chris Tognoni,"December 12, 2020"
Jack Hermansson ,Marvin Vettori ,L,W,Decision - Unanimous ,5,5:00,Herb Dean,"December 05, 2020"
Ovince Saint Preux ,Jamahal Hill ,L,W,KO/TKO ,2,3:37,Jason Herzog,"December 05, 2020"
Gabriel Benitez ,Justin Jaynes ,W,L,KO/TKO ,1,4:06,,"December 05, 2020"
Roman Dolidze ,John Allan ,W,L,Decision - Split ,3,5:00,Herb Dean,"December 05, 2020"
Matt Wiman ,Jordan Leavitt ,L,W,KO/TKO ,1,0:22,Chris Tognoni,"December 05, 2020"
Louis Smolka ,Jose Quinonez ,W,L,KO/TKO ,2,2:15,Jason Herzog,"December 05, 2020"
Ilia Topuria ,Damon Jackson ,W,L,KO/TKO ,1,2:38,Mark Smith,"December 05, 2020"
Gian Villante ,Jake Collier ,L,W,Decision - Unanimous ,3,5:00,Chris Tognoni,"December 05, 2020"
Anthony Smith ,Devin Clark ,W,L,Submission ,1,2:34,Herb Dean,"November 28, 2020"
Miguel Baeza ,Takashi Sato ,W,L,Submission ,2,4:28,Dan Miragliotta,"November 28, 2020"
Josh Parisian ,Parker Porter ,L,W,Decision - Unanimous ,3,5:00,Mark Smith,"November 28, 2020"
Spike Carlyle ,Bill Algeo ,L,W,Decision - Unanimous ,3,5:00,Herb Dean,"November 28, 2020"
Ashlee Evans-Smith ,Norma Dumont ,L,W,Decision - Unanimous ,3,5:00,Jason Herzog,"November 28, 2020"
Jonathan Pearce ,Kai Kamaka ,W,L,KO/TKO ,2,4:28,Dan Miragliotta,"November 28, 2020"
Martin Day ,Anderson Dos Santos ,L,W,Submission ,1,4:35,Herb Dean,"November 28, 2020"
Gina Mazany ,Rachael Ostovich ,W,L,KO/TKO ,3,4:10,Mark Smith,"November 28, 2020"
 Sumudaerji ,Malcolm Gordon ,W,L,KO/TKO ,1,0:44,Dan Miragliotta,"November 28, 2020"
Luke Sanders ,Nate Maness ,L,W,Submission ,2,2:29,Jason Herzog,"November 28, 2020"
Deiveson Figueiredo ,Alex Perez ,W,L,Submission ,1,1:57,Marc Goddard,"November 21, 2020"
Valentina Shevchenko ,Jennifer Maia ,W,L,Decision - Unanimous ,5,5:00,Herb Dean,"November 21, 2020"
Mike Perry ,Tim Means ,L,W,Decision - Unanimous ,3,5:00,Marc Goddard,"November 21, 2020"
Katlyn Chookagian ,Cynthia Calvillo ,W,L,Decision - Unanimous ,3,5:00,Mark Smith,"November 21, 2020"
Mauricio Rua ,Paul Craig ,L,W,KO/TKO ,2,3:36,Herb Dean,"November 21, 2020"
Brandon Moreno ,Brandon Royval ,W,L,KO/TKO ,1,4:59,Marc Goddard,"November 21, 2020"
Joaquin Buckley ,Jordan Wright ,W,L,KO/TKO ,2,0:18,Herb Dean,"November 21, 2020"
Antonina Shevchenko ,Ariane Lipski ,W,L,KO/TKO ,2,4:33,Chris Tognoni,"November 21, 2020"
Daniel Rodriguez ,Nicolas Dalby ,L,W,Decision - Unanimous ,3,5:00,Mark Smith,"November 21, 2020"
Alan Jouban ,Jared Gooden ,W,L,Decision - Unanimous ,3,5:00,Chris Tognoni,"November 21, 2020"
Kyle Daukaus ,Dustin Stoltzfus ,W,L,Decision - Unanimous ,3,5:00,Mark Smith,"November 21, 2020"
Louis Cosce ,Sasha Palatnikov ,L,W,KO/TKO ,3,2:47,Chris Tognoni,"November 21, 2020"
Paul Felder ,Rafael Dos Anjos ,L,W,Decision - Split ,5,5:00,Herb Dean,"November 14, 2020"
Abdul Razak Alhassan ,Khaos Williams ,L,W,KO/TKO ,1,0:30,Mark Smith,"November 14, 2020"
Ashley Yoder ,Miranda Granger ,W,L,Decision - Unanimous ,3,5:00,Jason Herzog,"November 14, 2020"
Brendan Allen ,Sean Strickland ,L,W,KO/TKO ,2,1:32,Herb Dean,"November 14, 2020"
Kay Hansen ,Cory McKenna ,L,W,Decision - Unanimous ,3,5:00,Jason Herzog,"November 14, 2020"
Randa Markos ,Kanako Murata ,L,W,Decision - Unanimous ,3,5:00,Mark Smith,"November 14, 2020"
Geraldo de Freitas ,Tony Gravely ,L,W,Decision - Split ,3,5:00,Chris Tognoni,"November 14, 2020"
Alex Morono ,Rhys McKee ,W,L,Decision - Unanimous ,3,5:00,Jason Herzog,"November 14, 2020"
Don'Tale Mayes ,Roque Martinez ,W,L,Decision - Unanimous ,3,5:00,Chris Tognoni,"November 14, 2020"
Thiago Santos ,Glover Teixeira ,L,W,Submission ,3,1:49,Herb Dean,"November 07, 2020"
Andrei Arlovski ,Tanner Boser ,W,L,Decision - Unanimous ,3,5:00,Mark Smith,"November 07, 2020"
Raoni Barcelos ,Khalid Taha ,W,L,Decision - Unanimous ,3,5:00,Jason Herzog,"November 07, 2020"
Giga Chikadze ,Jamey Simmons ,W,L,KO/TKO ,1,3:51,Herb Dean,"November 07, 2020"
Claudia Gadelha ,Yan Xiaonan ,L,W,Decision - Unanimous ,3,5:00,Jason Herzog,"November 07, 2020"
Trevin Giles ,Bevon Lewis ,W,L,KO/TKO ,3,1:26,Mark Smith,"November 07, 2020"
Alexandr Romanov ,Marcos Rogerio de Lima ,W,L,Submission ,1,4:48,Herb Dean,"November 07, 2020"
Darren Elkins ,Eduardo Garagorri ,W,L,Submission ,3,2:22,Chris Tognoni,"November 07, 2020"
Max Griffin ,Ramiz Brahimaj ,W,L,KO/TKO ,3,2:03,Mark Smith,"November 07, 2020"
